0,1,2,3,4,5,6,7,8,9,10,Timestamp,Cumulative_Time
6.3984375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:03:01.492187500,181.4921875
6.44140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:03:07.933593750,187.93359375
6.4609375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-19 00:03:14.394531250,194.39453125
6.50390625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:20.898437500,200.8984375
6.5234375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:27.421875000,207.421875
6.56640625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:33.988281250,213.98828125
6.5859375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:40.574218750,220.57421875
7.00390625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:47.578125000,227.578125
7.0234375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:03:54.601562500,234.6015625
7.06640625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:01.667968750,241.66796875
7.0859375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:08.753906250,248.75390625
7.12890625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:15.882812500,255.8828125
7.1484375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:23.031250000,263.03125
7.19140625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:30.222656250,270.22265625
7.2109375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:37.433593750,277.43359375
7.25390625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:44.687500000,284.6875
7.2734375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:51.960937500,291.9609375
7.31640625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:04:59.277343750,299.27734375
7.3359375,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:05:06.613281250,306.61328125
7.37890625,0,55636,32787,55636,0,0,55636,55636,0,0,2024-11-19 00:05:13.992187500,313.9921875
